Index,address,price,latitude,longitude,raw data
20,406 montgomery ann arbor,1290.0,42.27896063832418,-83.7645172302443,"{'place_id': 254588720, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 8734511, 'boundingbox': ['42.278910638324', '42.279010638324', '-83.764567230244', '-83.764467230244'], 'lat': '42.27896063832418', 'lon': '-83.7645172302443', 'display_name': '406, Montgomery Avenue, Wildwood, Ann Arbor, Washtenaw County, Michigan, 48103, United States of America', 'class': 'place', 'type': 'house', 'importance': 0.411}"
23,214 south hewitt ann arbor,970.0,None,None,None
25,214 south hewitt ann arbor,1020.0,None,None,None
26,214 south hewitt ann arbor,860.0,None,None,None
27,3089 woodland hills dr ann arbor,1249.0,42.24490951020408,-83.67479369387755,"{'place_id': 254584862, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 517527436, 'boundingbox': ['42.244859510204', '42.244959510204', '-83.674843693878', '-83.674743693878'], 'lat': '42.24490951020408', 'lon': '-83.67479369387755', 'display_name': '3089, Woodland Hills Drive, Evergreen Apartments, Pittsfield Charter Township, Washtenaw County, Michigan, 48108, United States of America', 'class': 'place', 'type': 'house', 'importance': 0.411}"
29,"1645 n maple rd # 309, ann arbor, mi",750.0,42.296231,-83.781087,"{'place_id': 254588420, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 471941845, 'boundingbox': ['42.296181', '42.296281', '-83.781137', '-83.781037'], 'lat': '42.296231', 'lon': '-83.781087', 'display_name': '1645, North Maple Road, Ann Arbor, Washtenaw County, Michigan, 48103, United States of America', 'class': 'place', 'type': 'house', 'importance': 0.611}"
30,2224 golfside drive ann arbor,989.0,42.604732,-83.451609,"{'place_id': 82586084, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 8713528, 'boundingbox': ['42.604673', '42.6060978', '-83.455986', '-83.446556'], 'lat': '42.604732', 'lon': '-83.451609', 'display_name': 'Golfside Drive, Commerce Township, Oakland County, Michigan, 48382, United States of America', 'class': 'highway', 'type': 'residential', 'importance': 0.3}"
31,"1645 n maple rd # 309, ann arbor, mi",750.0,42.296231,-83.781087,"{'place_id': 254588420, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 471941845, 'boundingbox': ['42.296181', '42.296281', '-83.781137', '-83.781037'], 'lat': '42.296231', 'lon': '-83.781087', 'display_name': '1645, North Maple Road, Ann Arbor, Washtenaw County, Michigan, 48103, United States of America', 'class': 'place', 'type': 'house', 'importance': 0.611}"
32,"1645 n maple rd # 309, ann arbor, mi",750.0,42.296231,-83.781087,"{'place_id': 254588420, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 471941845, 'boundingbox': ['42.296181', '42.296281', '-83.781137', '-83.781037'], 'lat': '42.296231', 'lon': '-83.781087', 'display_name': '1645, North Maple Road, Ann Arbor, Washtenaw County, Michigan, 48103, United States of America', 'class': 'place', 'type': 'house', 'importance': 0.611}"
33,3008 randolph court dr. ann arbor,933.0,42.2449827138505,-83.67153307062043,"{'place_id': 254598474, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 8723904, 'boundingbox': ['42.24493271385', '42.24503271385', '-83.67158307062', '-83.67148307062'], 'lat': '42.2449827138505', 'lon': '-83.67153307062043', 'display_name': '3008, Randolph Court Drive, Randolph Court Apartments, Pittsfield Charter Township, Washtenaw County, Michigan, 48108, United States of America', 'class': 'place', 'type': 'house', 'importance': 0.411}"
34,3089 woodland hills dr ann arbor,939.0,42.24490951020408,-83.67479369387755,"{'place_id': 254584862, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 517527436, 'boundingbox': ['42.244859510204', '42.244959510204', '-83.674843693878', '-83.674743693878'], 'lat': '42.24490951020408', 'lon': '-83.67479369387755', 'display_name': '3089, Woodland Hills Drive, Evergreen Apartments, Pittsfield Charter Township, Washtenaw County, Michigan, 48108, United States of America', 'class': 'place', 'type': 'house', 'importance': 0.411}"
38,2201 glencoe hills ann arbor,2179.0,42.255379500000004,-83.6740488589607,"{'place_id': 217272428, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 661549346, 'boundingbox': ['42.2522322', '42.2590747', '-83.6771594', '-83.6709565'], 'lat': '42.255379500000004', 'lon': '-83.6740488589607', 'display_name': 'Glencoe Hills, Pittsfield Charter Township, Washtenaw County, Michigan, United States of America', 'class': 'landuse', 'type': 'residential', 'importance': 0.39999999999999997}"
40,101 lake village ann arbor,2000.0,None,None,None
44,1980 pauline boulevard ann arbor,1149.0,42.26804544897959,-83.77355891836734,"{'place_id': 254612101, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 442013268, 'boundingbox': ['42.26799544898', '42.26809544898', '-83.773608918367', '-83.773508918367'], 'lat': '42.26804544897959', 'lon': '-83.77355891836734', 'display_name': '1980, Pauline Boulevard, Wildwood, Ann Arbor, Ann\xa0Arbor Charter\xa0Township, Washtenaw County, Michigan, 48103, United States of America', 'class': 'place', 'type': 'house', 'importance': 0.511}"
45,1980 pauline boulevard ann arbor,1249.0,42.26804544897959,-83.77355891836734,"{'place_id': 254612101, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 442013268, 'boundingbox': ['42.26799544898', '42.26809544898', '-83.773608918367', '-83.773508918367'], 'lat': '42.26804544897959', 'lon': '-83.77355891836734', 'display_name': '1980, Pauline Boulevard, Wildwood, Ann Arbor, Ann\xa0Arbor Charter\xa0Township, Washtenaw County, Michigan, 48103, United States of America', 'class': 'place', 'type': 'house', 'importance': 0.511}"
46,2835 roundtree blvd ann arbor,1079.0,42.227655,-83.6556897,"{'place_id': 254585206, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 192949014, 'boundingbox': ['42.227605', '42.227705', '-83.6557397', '-83.6556397'], 'lat': '42.227655', 'lon': '-83.6556897', 'display_name': '2835, Roundtree Boulevard, Charter Township of Ypsilanti, Washtenaw County, Michigan, 48197, United States of America', 'class': 'place', 'type': 'house', 'importance': 0.21100000000000002}"
47,2960 birch hollow dr ann arbor,1179.0,42.238664,-83.721835,"{'place_id': 254600731, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 8726243, 'boundingbox': ['42.238614', '42.238714', '-83.721885', '-83.721785'], 'lat': '42.238664', 'lon': '-83.721835', 'display_name': '2960, Birch Hollow Drive, Ann Arbor, Washtenaw County, Michigan, 48108, United States of America', 'class': 'place', 'type': 'house', 'importance': 0.611}"
50,406 montgomery ann arbor,1290.0,42.27896063832418,-83.7645172302443,"{'place_id': 254588720, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 8734511, 'boundingbox': ['42.278910638324', '42.279010638324', '-83.764567230244', '-83.764467230244'], 'lat': '42.27896063832418', 'lon': '-83.7645172302443', 'display_name': '406, Montgomery Avenue, Wildwood, Ann Arbor, Washtenaw County, Michigan, 48103, United States of America', 'class': 'place', 'type': 'house', 'importance': 0.411}"
52,1984 traver rd ann arbor,1469.0,42.30154991677406,-83.72719734545764,"{'place_id': 254611701, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 441142726, 'boundingbox': ['42.301499916774', '42.301599916774', '-83.727247345458', '-83.727147345458'], 'lat': '42.30154991677406', 'lon': '-83.72719734545764', 'display_name': '1984, Traver Road, Ann Arbor, Washtenaw County, Michigan, 48105, United States of America', 'class': 'place', 'type': 'house', 'importance': 0.411}"
59,321 williamsen dr ann arbor,1070.0,None,None,None
65,3089 woodland hills dr ann arbor,939.0,42.24490951020408,-83.67479369387755,"{'place_id': 254584862, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 517527436, 'boundingbox': ['42.244859510204', '42.244959510204', '-83.674843693878', '-83.674743693878'], 'lat': '42.24490951020408', 'lon': '-83.67479369387755', 'display_name': '3089, Woodland Hills Drive, Evergreen Apartments, Pittsfield Charter Township, Washtenaw County, Michigan, 48108, United States of America', 'class': 'place', 'type': 'house', 'importance': 0.411}"
79,329 jarvis street ann arbor,795.0,None,None,None
80,958 west cross street ann arbor,2195.0,None,None,None
81,805 congress st. ann arbor,815.0,None,None,None
85,615 pearl street ann arbor,675.0,42.290546,-83.757015,"{'place_id': 82101097, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 8731121, 'boundingbox': ['42.290509', '42.290588', '-83.75824', '-83.755767'], 'lat': '42.290546', 'lon': '-83.757015', 'display_name': 'Pearl Street, Wildwood, Ann Arbor, Washtenaw County, Michigan, 48103, United States of America', 'class': 'highway', 'type': 'residential', 'importance': 0.5}"
86,615 pearl street ann arbor,695.0,42.290546,-83.757015,"{'place_id': 82101097, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 8731121, 'boundingbox': ['42.290509', '42.290588', '-83.75824', '-83.755767'], 'lat': '42.290546', 'lon': '-83.757015', 'display_name': 'Pearl Street, Wildwood, Ann Arbor, Washtenaw County, Michigan, 48103, United States of America', 'class': 'highway', 'type': 'residential', 'importance': 0.5}"
87,615 pearl street ann arbor,695.0,42.290546,-83.757015,"{'place_id': 82101097, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 8731121, 'boundingbox': ['42.290509', '42.290588', '-83.75824', '-83.755767'], 'lat': '42.290546', 'lon': '-83.757015', 'display_name': 'Pearl Street, Wildwood, Ann Arbor, Washtenaw County, Michigan, 48103, United States of America', 'class': 'highway', 'type': 'residential', 'importance': 0.5}"
91,9 south summit st. ann arbor,2095.0,42.407112,-83.579106,"{'place_id': 82994539, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 8726652, 'boundingbox': ['42.4070738', '42.407177', '-83.5797074', '-83.578234'], 'lat': '42.407112', 'lon': '-83.579106', 'display_name': 'Summit Street, Salem, Salem Township, Washtenaw County, Michigan, 48175, United States of America', 'class': 'highway', 'type': 'residential', 'importance': 0.3}"
92,116 north summit street ann arbor,1695.0,42.407112,-83.579106,"{'place_id': 82994539, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 8726652, 'boundingbox': ['42.4070738', '42.407177', '-83.5797074', '-83.578234'], 'lat': '42.407112', 'lon': '-83.579106', 'display_name': 'Summit Street, Salem, Salem Township, Washtenaw County, Michigan, 48175, United States of America', 'class': 'highway', 'type': 'residential', 'importance': 0.3}"
97,207 ballard street ann arbor,1045.0,None,None,None
98,2835 roundtree blvd ann arbor,969.0,42.227655,-83.6556897,"{'place_id': 254585206, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 192949014, 'boundingbox': ['42.227605', '42.227705', '-83.6557397', '-83.6556397'], 'lat': '42.227655', 'lon': '-83.6556897', 'display_name': '2835, Roundtree Boulevard, Charter Township of Ypsilanti, Washtenaw County, Michigan, 48197, United States of America', 'class': 'place', 'type': 'house', 'importance': 0.21100000000000002}"
99,212 stevens drive ann arbor,818.0,42.23537281632653,-83.63840071428572,"{'place_id': 254592877, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 8728722, 'boundingbox': ['42.235322816327', '42.235422816327', '-83.638450714286', '-83.638350714286'], 'lat': '42.23537281632653', 'lon': '-83.63840071428572', 'display_name': '212, Stevens Drive, Eastlawn, Charter Township of Ypsilanti, Washtenaw County, Michigan, 48197, United States of America', 'class': 'place', 'type': 'house', 'importance': 0.31100000000000005}"
101,2044 mcdivitt ct. ann arbor,1250.0,None,None,None
102,600 hidden valley club drive ann arbor,990.0,42.247112,-83.743149,"{'place_id': 254604566, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 8733327, 'boundingbox': ['42.247062', '42.247162', '-83.743199', '-83.743099'], 'lat': '42.247112', 'lon': '-83.743149', 'display_name': '600, Hidden Valley Club Drive, Hidden Valley-, Ann Arbor, Washtenaw County, Michigan, 48104, United States of America', 'class': 'place', 'type': 'house', 'importance': 0.711}"
103,2960 birch hollow dr ann arbor,1209.0,42.238664,-83.721835,"{'place_id': 254600731, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 8726243, 'boundingbox': ['42.238614', '42.238714', '-83.721885', '-83.721785'], 'lat': '42.238664', 'lon': '-83.721835', 'display_name': '2960, Birch Hollow Drive, Ann Arbor, Washtenaw County, Michigan, 48108, United States of America', 'class': 'place', 'type': 'house', 'importance': 0.611}"
104,3089 woodland hills dr ann arbor,1249.0,42.24490951020408,-83.67479369387755,"{'place_id': 254584862, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 517527436, 'boundingbox': ['42.244859510204', '42.244959510204', '-83.674843693878', '-83.674743693878'], 'lat': '42.24490951020408', 'lon': '-83.67479369387755', 'display_name': '3089, Woodland Hills Drive, Evergreen Apartments, Pittsfield Charter Township, Washtenaw County, Michigan, 48108, United States of America', 'class': 'place', 'type': 'house', 'importance': 0.411}"
105,1550 brookfield ann arbor,1579.0,42.24856338835245,-83.76273307136461,"{'place_id': 254586444, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 8730013, 'boundingbox': ['42.248513388352', '42.248613388352', '-83.762783071365', '-83.762683071365'], 'lat': '42.24856338835245', 'lon': '-83.76273307136461', 'display_name': '1550, Brookfield Drive, Ann Arbor, Washtenaw County, Michigan, 48103, United States of America', 'class': 'place', 'type': 'house', 'importance': 0.411}"
107,2501 keystone ln ann arbor,1065.0,42.262155,-83.779853,"{'place_id': 254589711, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 8728563, 'boundingbox': ['42.262105', '42.262205', '-83.779903', '-83.779803'], 'lat': '42.262155', 'lon': '-83.779853', 'display_name': '2501, Keystone Lane, Ann Arbor, Washtenaw County, Michigan, 48103, United States of America', 'class': 'place', 'type': 'house', 'importance': 0.411}"
108,2501 keystone ln ann arbor,1065.0,42.262155,-83.779853,"{'place_id': 254589711, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 8728563, 'boundingbox': ['42.262105', '42.262205', '-83.779903', '-83.779803'], 'lat': '42.262155', 'lon': '-83.779853', 'display_name': '2501, Keystone Lane, Ann Arbor, Washtenaw County, Michigan, 48103, United States of America', 'class': 'place', 'type': 'house', 'importance': 0.411}"
110,1409 catalpa dr ann arbor,1000.0,None,None,None
111,2501 keystone ln ann arbor,840.0,42.262155,-83.779853,"{'place_id': 254589711, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 8728563, 'boundingbox': ['42.262105', '42.262205', '-83.779903', '-83.779803'], 'lat': '42.262155', 'lon': '-83.779853', 'display_name': '2501, Keystone Lane, Ann Arbor, Washtenaw County, Michigan, 48103, United States of America', 'class': 'place', 'type': 'house', 'importance': 0.411}"
112,2960 international drive ann arbor,889.0,42.25326811764706,-83.65968235294118,"{'place_id': 254591773, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 8724352, 'boundingbox': ['42.253218117647', '42.253318117647', '-83.659732352941', '-83.659632352941'], 'lat': '42.25326811764706', 'lon': '-83.65968235294118', 'display_name': '2960, International Drive, Charter Township of Ypsilanti, Washtenaw County, Michigan, 48197, United States of America', 'class': 'place', 'type': 'house', 'importance': 0.31100000000000005}"
114,3089 woodland hills dr ann arbor,809.0,42.24490951020408,-83.67479369387755,"{'place_id': 254584862, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 517527436, 'boundingbox': ['42.244859510204', '42.244959510204', '-83.674843693878', '-83.674743693878'], 'lat': '42.24490951020408', 'lon': '-83.67479369387755', 'display_name': '3089, Woodland Hills Drive, Evergreen Apartments, Pittsfield Charter Township, Washtenaw County, Michigan, 48108, United States of America', 'class': 'place', 'type': 'house', 'importance': 0.411}"
117,275 harbor way ann arbor,1885.0,42.248894899999996,-83.74726903728029,"{'place_id': 184121333, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 444986113, 'boundingbox': ['42.2487875', '42.2489669', '-83.7473987', '-83.7471526'], 'lat': '42.248894899999996', 'lon': '-83.74726903728029', 'display_name': 'Harbor House Clubhouse, 275, Harbor Way, Harbor\xa0House of Ann\xa0Arbor, Ann Arbor, Washtenaw County, Michigan, 48103, United States of America', 'class': 'building', 'type': 'yes', 'importance': 0.511}"
119,1984 traver rd ann arbor,1469.0,42.30154991677406,-83.72719734545764,"{'place_id': 254611701, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 441142726, 'boundingbox': ['42.301499916774', '42.301599916774', '-83.727247345458', '-83.727147345458'], 'lat': '42.30154991677406', 'lon': '-83.72719734545764', 'display_name': '1984, Traver Road, Ann Arbor, Washtenaw County, Michigan, 48105, United States of America', 'class': 'place', 'type': 'house', 'importance': 0.411}"
121,221 normal ann arbor,995.0,None,None,None
123,1550 brookfield ann arbor,1609.0,42.24856338835245,-83.76273307136461,"{'place_id': 254586444, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 8730013, 'boundingbox': ['42.248513388352', '42.248613388352', '-83.762783071365', '-83.762683071365'], 'lat': '42.24856338835245', 'lon': '-83.76273307136461', 'display_name': '1550, Brookfield Drive, Ann Arbor, Washtenaw County, Michigan, 48103, United States of America', 'class': 'place', 'type': 'house', 'importance': 0.411}"
125,27883 independence st ann arbor,825.0,None,None,None
126,2960 international dr. ann arbor,1019.0,42.25326811764706,-83.65968235294118,"{'place_id': 254591773, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 8724352, 'boundingbox': ['42.253218117647', '42.253318117647', '-83.659732352941', '-83.659632352941'], 'lat': '42.25326811764706', 'lon': '-83.65968235294118', 'display_name': '2960, International Drive, Charter Township of Ypsilanti, Washtenaw County, Michigan, 48197, United States of America', 'class': 'place', 'type': 'house', 'importance': 0.31100000000000005}"
129,2960 birch hollow dr ann arbor,1209.0,42.238664,-83.721835,"{'place_id': 254600731, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 8726243, 'boundingbox': ['42.238614', '42.238714', '-83.721885', '-83.721785'], 'lat': '42.238664', 'lon': '-83.721835', 'display_name': '2960, Birch Hollow Drive, Ann Arbor, Washtenaw County, Michigan, 48108, United States of America', 'class': 'place', 'type': 'house', 'importance': 0.611}"
130,275 harbor way ann arbor,1449.0,42.248894899999996,-83.74726903728029,"{'place_id': 184121333, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 444986113, 'boundingbox': ['42.2487875', '42.2489669', '-83.7473987', '-83.7471526'], 'lat': '42.248894899999996', 'lon': '-83.74726903728029', 'display_name': 'Harbor House Clubhouse, 275, Harbor Way, Harbor\xa0House of Ann\xa0Arbor, Ann Arbor, Washtenaw County, Michigan, 48103, United States of America', 'class': 'building', 'type': 'yes', 'importance': 0.511}"
131,1005 maiden lane ann arbor,1299.0,42.2887375,-83.735524375,"{'place_id': 254586037, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 8727887, 'boundingbox': ['42.2886875', '42.2887875', '-83.735574375', '-83.735474375'], 'lat': '42.2887375', 'lon': '-83.735524375', 'display_name': '1005, Maiden Lane, Ann Arbor, Washtenaw County, Michigan, 48105, United States of America', 'class': 'place', 'type': 'house', 'importance': 0.511}"
132,2960 international dr. ann arbor,959.0,42.25326811764706,-83.65968235294118,"{'place_id': 254591773, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 8724352, 'boundingbox': ['42.253218117647', '42.253318117647', '-83.659732352941', '-83.659632352941'], 'lat': '42.25326811764706', 'lon': '-83.65968235294118', 'display_name': '2960, International Drive, Charter Township of Ypsilanti, Washtenaw County, Michigan, 48197, United States of America', 'class': 'place', 'type': 'house', 'importance': 0.31100000000000005}"
133,2960 international ann arbor,999.0,42.25326811764706,-83.65968235294118,"{'place_id': 254591773, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 8724352, 'boundingbox': ['42.253218117647', '42.253318117647', '-83.659732352941', '-83.659632352941'], 'lat': '42.25326811764706', 'lon': '-83.65968235294118', 'display_name': '2960, International Drive, Charter Township of Ypsilanti, Washtenaw County, Michigan, 48197, United States of America', 'class': 'place', 'type': 'house', 'importance': 0.21100000000000002}"
